"Jobs2Careers,Recent Grad",8887023752,29
"Jobs2Careers,Student",8889045469,112
"Jobs2Careers,TBD",8669090775,1
"JobsinTrucks,Dedicated",8662221787,3
"JobsinTrucks,Experienced",8662063862,5
"JobsinTrucks,Recent Grad",8886901405,10
"JobsinTrucks,Student",8662111387,19
"JobsinTrucks,Student",8668818185,2
"JobsinTrucks,TBD",8667511501,1
"JoinSwift.com,Mixed",8664373050,2187
"LinkUp,Experienced",8667628959,32
"LinkUp,Jan2016",8668849980,1
"LinkUp,Recent Grad",8888971528,49
"LinkUp,Student",8886939642,94
"Monster.com,Experienced",8555646794,3
"Monster.com,Experienced",8669251336,1
"Monster.com,Experienced",8886947010,5
"Monster.com,Other",8888178114,1
"Monster.com,Recent Grad",8662011406,15
"Monster.com,Recent Grad",8662110894,85
"Monster.com,Student",8662057369,7
"Monster.com,Student",8887209763,23
"Randall Reilly,Experienced",8665831688,2
"Randall Reilly,Experienced",8666284209,1
"Randall Reilly,Experienced",8667866754,5
"Randall Reilly,Experienced",8668846596,6
"Randall Reilly,Other",8668390944,90
"Randall Reilly,Student",8662457811,5
"Randall Reilly,Student",8665822001,6
"Randall Reilly,Student",8666497478,4
"Randall Reilly,Student",8668695052,6
"Randall Reilly,Student",8669281650,3
"Randall Reilly,Student",8888190689,2
"Randall Reilly - m.BestDriverJobs.com,Experienced",8669443939,1
"Randall Reilly - CareersInGear,Experienced",8663144833,7
"Randall Reilly - CareersInGear,Recent Grad",8663155708,13
"Randall Reilly - CareersInGear,Student",8888554943,5
"Randall Reilly - JiggyJobs,Recent Grad",8668684803,2
"Randall Reilly - m.DriverRecruiting,Student",8667015856,7
"Randall Reilly - m.HiringTruckDrivers.com,Experienced",8668525754,1
"SimplyHired,Dedicated",8663609514,1
"SimplyHired,Experienced",8668723004,1
"SimplyHired,Student",8886198793,1
"SnagAJob,Jan2016",8665865764,1
"SnagAJob,Recent Grad",8885808169,110
"SnagAJob,Student",8887101575,117
"Swifttrans.com,Experienced",8665127720,291
"Swifttrans.com,Mixed",8885586803,135
"Swifttrans.com,Mixed",8887723109,73
"Swifttrans.com,Recent Grad",8664408049,178
"Swifttrans.com,Student",8665320431,759
"Swifttrans.com,TBD",8886975207,1
"TopUSAJobs.com,Dedicated",8665514629,2
"TopUSAJobs.com,Experienced",8668626913,47
"TopUSAJobs.com,Recent Grad",8665018352,22
"TopUSAJobs.com,Student",8669167772,80
"TopUSAJobs.com,TBD",8664014826,2
"TruckDrivingJobs.com,Student",8889280090,2
"TruckJobSeekers.com,Experienced",8666909674,1
"TruckJobSeekers.com,Student",8663952037,1
"Wright Media Group,Recent Grad",8669135075,55
"YP.com,Student",8668277185,289
"Yahoo/Bing,Experienced",8887101761,315
"Yahoo/Bing,Recent Grad",8888609373,1
"Yahoo/Bing,Student",8889050374,302
"Zip Recruiter,Experienced",8668271804,45
"Zip Recruiter,Jan2016",8666469714,5
"Zip Recruiter,Recent Grad",8667208992,15
"Zip Recruiter,Student",8885468037,176
"Bayard,TBD",8662632037,1
"Bayard,TBD",8662876421,1
"Bayard,TBD",8663823688,2
"Bayard,TBD",8664344255,2
"Bayard,TBD",8664635721,1
"Bayard,TBD",8664779186,1
"Bayard,TBD",8664860713,3
"Bayard,TBD",8664909061,3
"Bayard,TBD",8665208393,1
"Bayard,TBD",8665857150,1
"Bayard,TBD",8665941713,1
"Bayard,TBD",8666117868,1
"Bayard,TBD",8666231393,1
"Bayard,TBD",8666312796,1
"Bayard,TBD",8666404395,1
"Bayard,TBD",8666488603,2
"Bayard,TBD",8666827068,1
"Bayard,TBD",8666937494,1
"Bayard,TBD",8667753902,1
"Bayard,TBD",8669071817,1
"Bayard,TBD",8669139754,1
"Bayard,TBD",8669145711,1
"Bayard,TBD",8884140571,1
"Jibe,Dedicated",8669098875,1
"Randall Reilly - m.DriverRecruiting,Experienced",8667230589,2
"Randall Reilly - m.bigtruckdrivingjobs.com,Experienced",8666456477,3
