"Ad Media",New,Reapply,"Attending Outside School","Attempting Contact",Interview,Recruiting,"Pending Investigations","Online Course","Awaiting Permit","Hireright Requested","Rehire Submitted",Scheduled,"Ready For Processing",Processing,"Processing Complete","Attending School","Attending Academy","Left Sch/aca","Left Academy","Dl170 Testing","Graduated Sch/aca","Failed Sch/aca",Compliance,"Driver Reactivation","No Show","Left Orientation",Hold,"Ready For Audit",Audit,"Audit Deficiencies","Ok To Code","Paf Entered",Hired,"Not Qualified","Not Interested","No Response","Duplicate App","Xfer Allowed","Unqualified Da","Do Not Contact","Security Closed",Upload,Total,
LACED_DR_Experienced_Yahoo_Intellipp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
LACED_DR_Experienced_Yahoo_SwiftLeadForm,2,5,4,12,52,31,11,18,8,0,3,0,7,6,8,0,1,0,0,0,0,0,4,0,3,1,1,0,0,0,0,0,18,83,50,127,11,0,0,4,0,0,470,
LACED_DR_Exp_CDLCareerNow_TruckWarrior_CareerHorizon_SwiftLeadForm,2,5,0,16,32,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,35,43,93,1,0,1,2,0,0,244,
LACED_DR_Exp_Craigslist_CareerHorizon_Intelliapp,0,0,0,0,3,2,0,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,5,0,0,0,0,1,0,0,22,
LACED_DR_Exp_Craigslist_CareerHorizon_SwiftLeadForm,2,0,1,2,16,4,1,6,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,3,10,28,27,1,0,0,1,0,0,110,
LACED_DR_Exp_EveryTruckJob_CareerHorizon_Intelliapp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,
LACED_DR_Exp_EveryTruckJob_CareerHorizon_SwiftLeadForm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,
LACED_DR_Exp_FindATruckerJob_CareerHorizon_Intelliapp,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,
LACED_DR_Exp_FindATruckerJob_CareerHorizon_SwiftLeadForm,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,6,0,0,0,0,0,0,14,
LACED_DR_Exp_Google_CareerHorizon_SwiftLeadForm,14,20,29,76,357,138,28,76,58,0,5,0,27,39,39,0,14,1,1,0,1,1,6,0,13,4,6,0,0,0,0,0,88,463,267,697,35,0,2,6,5,0,2516,
LACED_DR_Exp_Indeed_CareerHorizon_Intelliapp,3,0,1,3,8,4,0,4,2,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,4,8,14,0,0,0,0,0,0,56,
LACED_DR_Exp_Indeed_CareerHorizon_SwiftLeadForm,17,2,1,26,72,12,1,10,5,0,0,0,1,1,2,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,38,75,205,1,0,0,1,0,0,473,
LACED_DR_Exp_Jobs2Careers_CareerHorizon_Intelliapp,1,0,0,1,1,7,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,9,10,0,0,0,1,0,0,42,
LACED_DR_Exp_Jobs2Careers_CareerHorizon_SwiftLeadForm,3,0,0,6,16,10,2,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,18,24,62,4,0,0,1,0,0,155,
LACED_DR_Exp_JobsInTrucks_CareerHorizon_Intelliapp,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
LACED_DR_Exp_JobsInTrucks_CareerHorizon_SwiftLeadForm,0,1,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,9,
LACED_DR_Exp_LinkUp_CareerHorizon_Intelliapp,0,0,0,1,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,5,9,0,0,0,0,0,0,26,
LACED_DR_Exp_LinkUp_CareerHorizon_SwiftLeadForm,1,0,0,4,15,8,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,17,24,54,0,0,0,0,0,0,127,
LACED_DR_Exp_Monster_CareerHorizon_Intelliapp,1,0,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,0,0,0,0,0,0,14,
LACED_DR_Exp_Monster_CareerHorizon_SwiftLeadForm,2,2,0,9,8,5,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,14,32,0,0,0,1,0,0,94,
LACED_DR_Exp_Monster_MAS_CareerHozion_Intelliapp,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,4,
LACED_DR_Exp_Monster_MAS_CareerHozion_SwiftLeadForm,6,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,7,0,0,0,0,0,0,26,
LACED_DR_Exp_RandallReilly_BestDriverJobs_CareerHorizon_SwiftLeadForm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,
LACED_DR_Exp_RandallReilly_BigTruckDrivingJobs_CareerHorizon_SwiftLeadForm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,
